ts,camera_id,name,role,bytes,motion,frames
2026-08-31T04:37:37+07:00,572534477246123479166921,Jl Raya Tlogomas 14a Arah Barat,commute,55648,0.18,49
2026-08-31T04:37:40+07:00,639466428930627267991858,Jl. Sumber Sari Arah Utara,dest3,69560,0.569,49
2026-08-31T04:37:42+07:00,967823448439028638648911,Jl. Sigura-Gura Arah Barat,dest3,61852,0.044,49
2026-08-31T04:37:45+07:00,767576969564466612969572,Jl Veteran Gerbang UB,dest3,35156,0.006,29
2026-08-31T04:37:47+07:00,636589114401733445781917,Jl. Veteran Arah Timur,dest3,67680,0.098,49
2026-08-31T04:37:50+07:00,673512185163543498056968,Jl. Panjaitan Arah Timur,commute,,,-1
2026-08-31T04:37:51+07:00,446907421280943044413749,Jl MT Haryono Arah Barat,commute,126524,2.873,29
2026-08-31T04:37:54+07:00,268660637162985239935545,Jl. Ijen Arah Utara,cafe,64108,0.564,49
2026-08-31T04:37:57+07:00,322877538584592778525433,Jl. Kawi Arah Barat,cafe,66928,0.113,49
2026-08-31T04:37:59+07:00,184398221253246434285173,Jl. Soekarno Hatta Arah Timur (Center Point),cafe,63356,0.542,49
2026-08-31T04:38:02+07:00,227920422769509645238654,Jl. Soekarno Hatta Arah Selatan,cafe,138368,1.056,29
2026-08-31T04:38:05+07:00,077636403437244032401245,Jl. Terusan Dieng Arah Barat,cafe,71252,0.086,49
2026-08-31T06:52:36+07:00,318197263503692449077822,Jl. Tlogomas Arah Barat,commute,129532,6.858,49
2026-08-31T06:52:39+07:00,704720868465795037095760,Jl. Tlogomas Arah Timur,commute,84412,3.299,49
2026-08-31T06:52:41+07:00,097779292771471341955457,Pertigaan Tunggulmas,dest1+2,108476,6.762,49
2026-08-31T06:52:44+07:00,522539750301519499247770,Jembatan TunggulMas,dest2,119004,1.401,49
2026-08-31T06:52:46+07:00,180731272173025410229793,Jl Raya Tlogomas 83 Arah Timur,commute,53016,0.876,49
2026-08-31T06:52:49+07:00,572534477246123479166921,Jl Raya Tlogomas 14a Arah Barat,commute,61852,1.692,49
2026-08-31T06:52:52+07:00,639466428930627267991858,Jl. Sumber Sari Arah Utara,dest3,110168,3.458,49
2026-08-31T06:52:54+07:00,967823448439028638648911,Jl. Sigura-Gura Arah Barat,dest3,113552,3.769,49
2026-08-31T06:52:57+07:00,767576969564466612969572,Jl Veteran Gerbang UB,dest3,62980,0.33,29
2026-08-31T06:52:59+07:00,636589114401733445781917,Jl. Veteran Arah Timur,dest3,97948,3.679,49
2026-08-31T06:53:01+07:00,673512185163543498056968,Jl. Panjaitan Arah Timur,commute,79148,6.92,49
2026-08-31T06:53:04+07:00,446907421280943044413749,Jl MT Haryono Arah Barat,commute,139120,5.438,29
2026-08-31T06:53:06+07:00,268660637162985239935545,Jl. Ijen Arah Utara,cafe,82532,2.705,49
2026-08-31T06:53:09+07:00,322877538584592778525433,Jl. Kawi Arah Barat,cafe,68432,1.65,49
2026-08-31T06:53:11+07:00,184398221253246434285173,Jl. Soekarno Hatta Arah Timur (Center Point),cafe,112236,4.302,49
2026-08-31T06:53:14+07:00,227920422769509645238654,Jl. Soekarno Hatta Arah Selatan,cafe,137616,3.816,29
2026-08-31T06:53:17+07:00,077636403437244032401245,Jl. Terusan Dieng Arah Barat,cafe,68056,1.125,49
2026-08-31T10:09:50+07:00,318197263503692449077822,Jl. Tlogomas Arah Barat,commute,82720,2.006,49
2026-08-31T10:09:52+07:00,704720868465795037095760,Jl. Tlogomas Arah Timur,commute,67492,1.682,49
2026-08-31T10:09:55+07:00,097779292771471341955457,Pertigaan Tunggulmas,dest1+2,117124,2.837,49
2026-08-31T10:09:58+07:00,522539750301519499247770,Jembatan TunggulMas,dest2,127464,4.749,49
2026-08-31T10:10:00+07:00,180731272173025410229793,Jl Raya Tlogomas 83 Arah Timur,commute,107348,4.778,49
2026-08-31T10:10:05+07:00,572534477246123479166921,Jl Raya Tlogomas 14a Arah Barat,commute,100016,4.454,49
2026-08-31T10:10:08+07:00,639466428930627267991858,Jl. Sumber Sari Arah Utara,dest3,71440,1.741,49
2026-08-31T10:10:10+07:00,967823448439028638648911,Jl. Sigura-Gura Arah Barat,dest3,58468,1.188,49
2026-08-31T10:10:13+07:00,767576969564466612969572,Jl Veteran Gerbang UB,dest3,59972,0.502,29
2026-08-31T10:10:15+07:00,636589114401733445781917,Jl. Veteran Arah Timur,dest3,69748,2.109,49
2026-08-31T10:10:17+07:00,673512185163543498056968,Jl. Panjaitan Arah Timur,commute,139872,11.088,49
2026-08-31T10:10:20+07:00,446907421280943044413749,Jl MT Haryono Arah Barat,commute,131036,1.766,29
2026-08-31T10:10:23+07:00,268660637162985239935545,Jl. Ijen Arah Utara,cafe,79336,3.127,49
2026-08-31T10:10:25+07:00,322877538584592778525433,Jl. Kawi Arah Barat,cafe,53956,0.875,49
2026-08-31T10:10:27+07:00,184398221253246434285173,Jl. Soekarno Hatta Arah Timur (Center Point),cafe,96632,3.732,49
2026-08-31T10:10:30+07:00,227920422769509645238654,Jl. Soekarno Hatta Arah Selatan,cafe,134984,2.485,29
2026-08-31T10:10:32+07:00,077636403437244032401245,Jl. Terusan Dieng Arah Barat,cafe,64484,0.728,49
